#{"t_start": 1773812897.832136, "env_id": "None"}
r,l,t
-30.6,16,49.318457
1.3,56,49.381227
6.45,51,49.43937
18.55,22,49.464322
21.95,69,49.537041
21.15,52,49.59438
9.75,55,49.652216
43.05,52,49.710337
-0.7,57,49.771172
2.6,51,49.82485
0.75,63,49.894117
45.45,51,49.947559
45.0,69,50.019317
14.85,43,50.064392
14.0,65,50.135166
9.85,52,50.190635
4.0,54,50.246093
14.75,69,50.3189
2.25,51,50.663221
4.8,56,50.722476
6.4,51,50.775388
67.45,68,50.845019
24.7,62,50.911906
13.35,69,50.980967
19.85,56,51.043828
0.7,49,51.096578
-0.55,51,51.152384
19.95,43,51.199115
18.7,70,51.275512
-8.05,17,51.294122
23.25,55,51.353793
-3.25,52,51.410644
26.0,70,51.485565
65.5,55,51.544483
-3.65,57,51.604955
41.15,70,51.682047
22.85,69,51.753352
14.15,57,51.813709
23.25,70,51.886424
12.45,62,51.946184
-0.25,52,51.999132
25.85,49,52.049558
49.75,55,52.109036
24.7,63,52.177094
13.2,70,52.250107
56.55,65,52.321084
36.5,59,52.385937
17.05,65,52.453761
34.95,52,52.509507
8.75,52,52.565148
11.8,57,52.629535
5.5,56,52.693256
37.3,59,52.758411
8.55,15,52.773611
3.5,60,53.127224
-9.05,3,53.131231
-19.7,27,53.161304
37.1,43,53.207347
27.25,55,53.266019
36.4,70,53.343621
-13.25,3,53.348975
12.7,52,53.405645
30.1,56,53.468458
31.3,30,53.502727
-6.95,49,53.558089
53.55,53,53.61663
-8.0,38,53.660618
37.3,57,53.720579
17.0,43,53.769061
10.6,54,53.823698
20.2,52,53.877762
36.8,57,53.936939
17.9,56,53.999397
12.75,71,54.075239
-0.25,55,54.135097
42.2,49,54.186763
-0.65,52,54.241119
9.15,59,54.303317
72.25,55,54.361462
0.4,55,54.421499
10.7,70,54.497047
-2.4,52,54.552307
-0.65,50,54.60732
42.6,59,54.669498
11.45,55,54.730289
52.25,55,54.785446
13.75,70,54.856941
35.65,56,54.915191
30.4,50,54.967255
13.15,68,55.037028
8.45,69,55.110546
40.4,69,55.182946
2.25,54,55.242517
10.65,52,55.586166
6.8,52,55.644299
23.95,69,55.718548
-8.2,65,55.785004
25.75,54,55.845485
44.95,63,55.91151
29.25,51,55.964118
7.05,57,56.024613
20.6,65,56.094354
-0.75,52,56.149802
16.5,37,56.191785
6.25,43,56.238023
17.95,56,56.297689
-4.75,56,56.355932
26.15,51,56.412432
20.55,69,56.488522
7.75,70,56.561685
45.15,69,56.636555
7.75,55,56.69579
14.2,43,56.740463
14.75,70,57.955008
20.7,65,58.029462
15.7,43,58.080961
20.3,57,58.143111
26.85,62,58.213139
23.25,65,58.283663
21.45,55,58.345034
-0.85,52,58.402464
-11.65,43,58.451563
19.25,70,58.529351
12.0,52,58.587745
16.2,70,58.667748
-4.65,55,58.728608
22.55,57,58.793129
0.25,52,58.846569
7.55,56,58.906615
17.35,69,59.272217
8.3,37,59.315597
2.55,51,59.371457
15.7,70,59.448895
29.6,68,59.5268
59.45,70,59.60526
3.25,50,59.660363
20.35,65,59.730575
10.2,58,59.790808
-8.95,17,59.808593
52.4,57,59.869602
7.05,57,59.931385
22.6,70,60.007917
-5.6,51,60.067131
24.25,65,60.141742
11.15,56,60.206806
29.65,62,60.285047
6.3,52,60.346302
26.2,68,60.419616
32.6,56,60.481924
18.8,55,60.539894
43.1,69,60.61527
10.65,22,60.639244
14.25,65,60.710208
7.4,70,60.782954
41.95,51,60.835387
3.9,26,60.861808
46.9,57,60.919298
25.55,62,60.983504
17.35,54,61.040665
49.9,57,61.102042
41.55,59,61.16235
9.15,56,61.222358
20.55,52,61.279088
11.9,56,61.340148
2.45,56,61.39845
8.4,65,61.469049
36.5,40,61.800542
-2.8,43,61.845849
33.8,56,61.90164
19.5,70,61.976891
23.55,68,62.122219
2.6,49,62.179783
6.15,57,62.24761
5.0,55,62.310024
24.7,70,62.388049
4.4,52,62.446975
13.35,52,62.504747
16.35,49,62.560021
17.3,37,62.599964
17.35,69,62.677927
24.3,62,62.745933
14.65,26,62.777029
-4.4,50,62.828323
27.35,54,62.883659
-9.0,17,62.901334
-5.05,43,62.943646
20.4,43,62.987328
11.7,62,63.04993
15.0,70,63.126726
11.7,71,63.200593
11.7,56,63.262275
20.5,65,63.332415
13.0,55,63.389957
19.5,70,63.464719
52.45,69,63.538495
22.3,56,63.595954
0.05,57,63.656059
2.3,62,63.724026
39.7,70,63.793729
0.95,51,63.845418
4.8,52,63.896991
30.2,68,63.970381
31.05,69,64.443274
27.1,69,64.522043
26.15,77,64.614096
22.5,70,64.696746
38.75,65,64.763853
-0.1,51,64.818606
47.0,70,64.891599
24.45,69,64.963883
-18.25,26,64.994211
-28.4,16,65.011203
13.2,70,65.088706
59.35,69,65.161657
47.65,51,65.219583
36.65,68,65.297018
24.85,49,65.354075
30.5,70,65.428163
-4.7,17,65.446559
15.55,52,65.502094
28.85,77,65.584692
14.95,52,65.643631
23.45,70,65.721143
39.6,51,65.77464
56.0,50,65.825296
30.6,65,65.891147
-13.2,51,65.943147
-0.3,50,65.994544
14.35,49,66.050143
10.6,69,66.122709
71.1,69,66.193269
-4.85,55,66.252711
7.8,52,66.306327
9.05,22,66.331539
15.05,62,66.399331
24.95,43,66.447201
14.0,55,66.506805
19.7,43,66.554245
39.15,59,66.61472
28.7,37,66.935449
24.6,51,66.993934
15.75,70,67.067289
12.75,15,67.084347
31.75,30,67.11831
23.8,68,67.194643
26.7,68,67.268376
21.8,65,67.341439
-14.4,49,67.397456
19.8,52,67.453059
25.75,65,67.526956
42.8,57,67.59258
55.4,63,67.662506
-8.25,56,67.734102
20.9,71,67.812131
38.6,39,67.85109
8.05,57,67.912335
60.0,70,67.98598
5.7,51,68.040193
14.5,62,68.104497
37.75,70,68.17894
33.25,30,68.21488
21.85,49,68.271386
59.65,69,68.345628
-1.2,55,68.404692
21.4,71,68.480721
13.0,15,68.500335
15.9,50,68.555259
12.75,52,68.608076
22.9,54,68.670557
-20.0,20,68.692759
41.05,54,68.747948
-0.7,49,68.797045
51.55,55,68.853416
27.6,51,68.90599
53.0,57,68.966289
6.95,77,69.046446
46.7,57,69.109893
22.45,43,69.156887
-15.8,27,69.480174
34.75,30,69.514937
5.55,51,69.575293
8.45,55,69.634846
-0.8,50,69.689565
17.3,62,69.763765
22.7,43,69.810756
-1.65,49,69.863135
46.25,65,69.929935
5.7,58,69.995636
38.7,53,70.055301
19.8,56,70.119419
25.75,65,70.186172
11.15,70,70.266315
2.95,56,70.331077
8.75,55,70.391191
8.95,63,71.661082
11.05,57,71.726527
8.05,52,71.784776
26.45,68,71.854208
7.4,56,71.911053
-9.05,3,71.914803
33.0,70,71.98917
2.15,56,72.049897
54.2,69,72.131888
-0.3,58,72.19363
6.25,57,72.258524
59.9,56,72.320349
30.9,51,72.37431
3.55,52,72.43203
30.7,63,72.50028
9.05,52,72.559138
15.8,43,72.60593
13.25,68,72.678952
42.15,56,72.739183
10.4,51,72.792579
24.45,68,72.86313
42.55,62,73.219595
2.5,63,73.29127
-13.45,27,73.321847
3.85,49,73.381417
31.65,51,73.437014
17.6,50,73.494209
14.65,39,73.53538
48.85,69,73.611046
30.0,55,73.669157
18.4,52,73.725179
17.95,43,73.771822
7.3,52,73.827092
-5.1,49,73.876929
2.5,50,73.930443
34.15,51,73.987091
-0.6,49,74.039058
18.35,59,74.104956
6.55,52,74.162455
9.1,57,74.224379
16.45,68,74.294246
5.15,56,74.35634
1.5,52,74.410618
7.15,57,74.485488
-11.35,43,74.544157
9.0,55,74.614749
53.0,55,74.679852
33.15,51,74.744667
-33.6,16,74.763868
11.9,70,74.850936
10.75,15,74.869076
3.3,52,74.931924
-10.25,43,74.984899
7.05,57,75.05571
3.75,50,75.115418
-9.05,3,75.119816
58.75,65,75.205972
-2.2,52,75.274052
6.5,55,75.340926
3.45,58,75.412764
10.8,57,75.484181
51.25,55,75.550403
-7.8,52,75.948476
6.75,55,76.01862
-4.7,17,76.041824
-2.85,26,76.07455
-0.9,50,76.141265
6.2,52,76.211303
57.0,70,76.301496
20.5,62,76.378619
12.3,22,76.408744
39.85,59,76.483187
-10.5,52,76.551041
28.6,54,76.618658
-29.4,16,76.640009
-3.6,26,76.673211
17.8,50,76.735433
61.8,70,76.821374
36.7,54,76.889702
19.65,37,76.940062
20.3,52,77.00239
44.75,70,77.093212
28.0,51,77.156433
1.25,52,77.219597
-3.4,52,77.285238
6.35,49,77.350877
9.75,58,77.42214
24.9,56,77.493298
2.3,52,77.558107
47.35,55,77.629428
5.1,56,77.700734
10.25,70,77.787677
78.7,70,77.872205
33.5,70,77.953702
16.55,69,78.032497
16.05,37,78.071563
46.85,55,78.133235
-16.6,26,78.161925
4.05,52,78.218034
15.55,62,78.283224
4.3,52,78.339418
-9.8,17,78.358256
1.05,61,78.423548
5.5,55,78.780641
28.5,50,78.832261
55.5,55,78.891144
31.65,56,78.949969
9.15,51,79.005951
57.35,69,79.082617
14.5,55,79.144829
24.0,65,79.213844
25.05,62,79.282748
29.85,54,79.340749
35.7,50,79.398723
27.0,70,79.548075
28.85,69,79.623831
22.0,50,79.677138
2.55,56,79.735785
26.35,69,79.806452
42.0,70,79.878649
53.0,50,79.927622
55.4,65,79.994158
15.6,65,80.059972
-15.85,26,80.088688
18.75,70,80.165987
-7.5,38,80.20884
14.75,70,80.2839
28.55,52,80.339673
6.65,51,80.400864
1.3,52,80.456581
-16.5,26,80.485155
2.0,50,80.537448
27.3,37,80.578685
-21.4,20,80.601427
24.7,54,80.656699
41.05,59,80.719602
40.15,56,80.77651
38.45,68,80.845986
43.8,57,80.903652
-3.3,43,80.950082
10.3,57,81.301201
23.25,65,81.372994
17.25,71,81.450753
14.75,39,81.494084
43.1,59,81.564232
20.6,69,81.638466
19.2,70,81.718211
15.8,57,81.782412
31.5,55,81.836803
47.85,69,81.907715
32.35,68,81.977089
53.55,55,82.035158
19.55,68,82.108117
42.3,50,82.164329
12.75,15,82.181793
12.75,56,82.239512
43.25,65,82.309162
22.35,52,82.364552
14.75,55,82.42282
43.35,50,82.478244
26.0,70,82.552996
4.9,56,82.61342
39.35,69,82.687721
15.8,22,82.712652
9.4,56,82.770617
-16.85,26,82.798455
27.85,51,82.852549
20.6,52,82.905549
41.2,68,82.973447
29.5,70,83.051022
14.6,70,83.124755
51.1,69,83.197014
2.25,56,83.256492
11.85,62,83.323987
-9.05,3,83.328689
14.95,70,83.40167
52.75,55,83.459829
18.6,71,83.819284
49.95,65,83.890193
78.55,62,83.955786
-18.45,26,83.984187
17.0,55,84.049275
10.75,55,84.109211
43.55,57,84.173863
31.85,56,84.235815
55.75,30,84.271807
40.1,59,84.339551
10.0,37,84.388124
35.8,77,85.62302
18.65,51,85.679348
2.8,56,85.740257
12.5,55,85.798535
11.85,65,85.863608
-1.0,51,85.912929
32.15,50,85.964714
26.35,37,86.005208
35.45,57,86.06613
-4.95,43,86.112364
18.45,49,86.167181
47.15,55,86.227355
90.55,69,86.300374
14.65,56,86.36139
2.0,50,86.414912
66.35,70,86.488255
